wbs,issue
11AC2116170,
11AC2117003,0
11FC117BS40,0
11AC2117018,13
11AC2117008,0
11AC2117016,0
11AC2116181,0
11FC217BS07,
11AC2117022,0
11AC2117021,0
11AC2117020,
11FC117BS41,
11FC117BS43,0
11AC2917004,
11AC2117038,0
11AC2117043,0
11FC117BS46,0
11FC117BS47,
11FC217BS08,0
11FC117BS48,0
11AC2117056,0
11AC2117060,
11AC2117058,0
11AC2117049,
11AC2117071,0
11AC2117084,0
11FC117BS52,
11FC117BS50,0
11AC2117091,0
11FC117BS53,
11FC117BS55,0
11AC2117119,0
11FC217BS09,0
11FC117BS57,0
11AC2117112,0
11AC2117125,1
11FC117BS58,0
11FC117BS60,0
11AC2117130,
11AC2117123,1
11AC2117044,0
11AC2117037,0
11AC2K17151,2
11AC2117055,0
11AC2117063,0
11AC2117069,0
11AC2917040,0
11AC2117082,0
11AC2117096,0
11AC2117100,0
11AC2917054,1
11AC2917055,
11AC2117118,0
11AC2117137,
11AC2117131,0
11AC2117136,0
11AC2117143,0
11AC2117145,0
11AC2117148,0
11FC117BS61,0
11FC117BS63,0
11AC2117154,0
11FC117BS67,0
11FC117BS68,0
11AC2117166,5
11FC117BS66,0
11AC2117178,0
11FC117BS72,0
11AC2917093,0
11AC2117186,0
11AC2117187,0
11FC117BS19,0
11AC2117031,0
11AC2917023,0
11AC2117079,0
11AC2117093,0
11AC2117102,0
11AC2117124,0
11AC2117126,0
11AC2117134,1
11AC2117135,1
11AC2117141,0
11AC2117147,0
11AC2117153,0
11AC2117157,0
11AC2117160,0
11AC2117161,4
11FC117BS64_11FC117BS65,0
11AC2117185,0
11FC117BS74,0
11AC2117033-11AC2117110,0
11FC217BS05-11FC217BS10,0
11AC2117050,2
11AC2117116,1
11AC2117122,1
11FC117BS59,0
11AC2117133,0
11FC117BS70,41
11AC2117175,41
11AC2117190,0
11FC117BS73,0
11AC2117196,1
11AC2117208,0
11FC118BS37,0
11FC118BS38,0
11FC118BS40,0
11AC2117001-11AC2117070,0
11FC117BS42-11FC117BS56,0
11FC117BS49-11FC117BS49-2120,1
11AC2117085-11AC2117156,1
11FC117BS69,0
11FC117BS71,0
11AC2917086,0
11AC2117204,0
11AC2117217,0
11FC118BS31,0
11FC118BS35,0
11AC2118006,0
11AC2118005,0
11FY518BS07,0
11AC2918007,0
11FC118BS42,0
11FC218BS03,0
11AC2118017,0
11AC2118012,1
11AC2118026,0
11FC118BS44,0
11FC118BS45,0
11AC2118025,0
11AC2118031,0
11AC2118030,0
11AC2118040,0
11FY518BS08,0
11AC2118046,0
11FC118BS49,0
11FC118BS50,0
11AC2118064,0
11AC2118043,0
11AC2118071,0
11AC2918034,0
11FC218BS04,0
11FC218BS05,0
11FC118BS56,0
11FC118BS36,0
11FC118BS33,0
11FC118BS34,0
11AC2117015-11AC2117080-11AC2117138,13
11AC2117024-11AC2117086-11AC2117170,0
11AC2117171-11AC2118001,2
